Item,Statement,AI_mean,KW_mean,Diff,U,p,r,Significant
1,I think I would like to use this system frequently,4.2,3.0,1.2,27540.0,0.0,-0.7,True
2,I found the system unnecessarily complex,1.8,2.933,-1.133,6012.0,0.0,0.629,True
3,I thought the system was easy to use,3.967,3.167,0.8,23346.0,0.0,-0.441,True
4,I think I would need support to use this system,1.833,3.033,-1.2,4914.0,0.0,0.697,True
5,I found the various functions well integrated,4.067,2.933,1.133,26424.0,0.0,-0.631,True
6,I thought there was too much inconsistency,2.1,3.033,-0.933,7272.0,0.0,0.551,True
7,I imagine most people would learn this quickly,4.2,2.967,1.233,26946.0,0.0,-0.663,True
8,I found the system very cumbersome to use,1.833,3.3,-1.467,4104.0,0.0,0.747,True
9,I felt very confident using this system,4.4,3.0,1.4,29232.0,0.0,-0.804,True
10,I needed to learn a lot before getting going,2.0,3.133,-1.133,4950.0,0.0,0.694,True
