category,n_products,mean_rating,median_reviews,pct_high_rating
Camera & Photo,2575,4.003919355323541,18.0,59.45631067961165
Computers & Accessories,2484,3.9754521295337315,24.0,56.763285024154584
Headphones,1764,3.6966143737603328,42.0,34.35374149659864
Portable Audio & Video,883,3.8614694435271844,31.0,48.924122310305776
Accessories & Supplies,712,4.197020569819002,49.0,71.76966292134831
Television & Video,346,3.6921091255726153,23.0,37.861271676300575
Car Electronics & GPS,337,3.712790587865837,18.0,40.94955489614243
Wearable Technology,196,3.2022697047699067,15.0,16.83673469387755
Home Audio,137,3.9910166433254863,40.0,55.47445255474452
Security & Surveillance,126,3.5149795172033635,28.0,24.6031746031746
